Method,n,k,elapsed
BruteForceIdiomatic,131072,8,41507004
Heap,131072,8,103930836
BST,131072,8,39946888
Linear,131072,8,15152057
BruteForce,131072,16,69684799
BruteForceIdiomatic,131072,16,72077360
Heap,131072,16,74061860
BST,131072,16,45500662
Linear,131072,16,15194839
BruteForce,131072,32,128540415
BruteForceIdiomatic,131072,32,128642768
Heap,131072,32,57181335
BST,131072,32,50802080
Linear,131072,32,15289808
BruteForce,131072,64,244223411
BruteForceIdiomatic,131072,64,244042859
Heap,131072,64,36795089
BST,131072,64,55569051
Linear,131072,64,15343896
BruteForce,131072,128,474833145
BruteForceIdiomatic,131072,128,479032867
Heap,131072,128,30471466
BST,131072,128,61512607
Linear,131072,128,15280680
BruteForce,131072,256,936172615
BruteForceIdiomatic,131072,256,940284632
Heap,131072,256,25276920
BST,131072,256,67514590
Linear,131072,256,15205505
BruteForce,131072,512,1841059588
BruteForceIdiomatic,131072,512,1836201399
Heap,131072,512,24116582
BST,131072,512,71322099
Linear,131072,512,15133613
BruteForce,131072,1024,3654669580
BruteForceIdiomatic,131072,1024,3652257120
Heap,131072,1024,22348680
BST,131072,1024,76344755
Linear,131072,1024,15129318
